committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Vail Resorts Employee Political Action Committee,Political Committee,400,1/7/21 0:00,Committee To Elect Marc Snyder,Colorado Springs,CO,80904,Contributions,
Vail Resorts Employee Political Action Committee,Political Committee,400,1/7/21 0:00,Bird For Colorado,Westminster,CO,80023,Contributions,
Colorado Democratic Party,Political Party Committee,138.43,1/8/21 0:00,Adp,La Palma,CA,90623,Employee Services,Payroll Service Fees
Colorado Democratic Party,Political Party Committee,144.82,1/8/21 0:00,Adp,La Palma,CA,90623,Employee Services,Payroll Service Fees
Herod Leadership Fund,Political Committee,4,1/8/21 0:00,First Bank,Denver,CO,80218,Bank Fees,
Kennedy'S Backpac,Political Committee,3350,1/8/21 0:00,Colorado Democratic Party,Denver,CO,80203,Other,Co House Majority Project
Leroy Garcia Leadership Fund,Political Committee,60.74,1/8/21 0:00,Two Rivers Bbq,South Fork,CO,81154,"Food, Beverages and Meals",Dinner Meeting
Marijuana Industry Group Political Action Committee (Mig Pac),Political Committee,3000,1/8/21 0:00,All Together Colorado,Denver,CO,80206,Contributions,
Mark Baisley Leadership Pac,Political Committee,400,1/8/21 0:00,Campaign Law Accountability Watchdog,Castle Rock,CO,80109,Consultant & Professional Services,Campaign Finance Management Services
Valdez For Colorado Rainbow Fund,Political Committee,18,1/8/21 0:00,Zoho,Pleasantville,CA,94588,Consultant & Professional Services,
Wine And Spirits Wholesalers Of Colorado Inc Pac,Political Committee,15,1/8/21 0:00,Bank Of America,Denver,CO,80206,Bank Fees,Remote Deposit Monthly Fee
Colorado Concern Political Committee,Political Committee,-400,1/10/21 0:00,Kevin Van Winkle For Colorado,Highlands Ranch,CO,80126,Returned Expenditure,Voided
Colorado State Assn. Of Health Underwriters Pac (Csahu),Political Committee,0.59,1/10/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Colorado Working Families Party Small Donor Committee,Small Donor Committee,0.8,1/10/21 0:00,Actblue Technical Services,Somerville,MA,2144,Fundraising Expenses,Donation Processing Fee
Farmers Employees And Agent Pac (Feapac),Political Committee,400,1/10/21 0:00,Dave Young For Colorado,Greeley,CO,80631,Contributions,
Griswold Leadership Pac,Political Committee,12.35,1/10/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Credit Card Processing Fee
Colorado Committee Of Auto Retailers (Colo C.A.R.),Political Committee,500,1/11/21 0:00,Dave Young For Colorado,Greeley,CO,80631,Contributions,
Colorado Independent Auto Dealers Political Committee,Political Committee,1000,1/11/21 0:00,Better Colorado Alliance,Denver,CO,80206,Contributions,
Colorado Independent Auto Dealers Political Committee,Political Committee,1000,1/11/21 0:00,All Together Colorado,Denver,CO,80206,Contributions,
Colorado Independent Auto Dealers Political Committee,Political Committee,1000,1/11/21 0:00,Senate Majority Fund,Denver,CO,80205,Contributions,
Colorado Independent Auto Dealers Political Committee,Political Committee,1000,1/11/21 0:00,Restore Colorado Leadership Fund,Loveland,CO,80537,Contributions,
Colorado Liberty Fund,Political Committee,500,1/11/21 0:00,"Strategic Compliance, Llc",Denver,CO,80205,Consultant & Professional Services,Compliance Consulting And Reimbursement For State Filing Fee
Colorado Medical Society Small Donor Committee,Small Donor Committee,19.3,1/11/21 0:00,Wells Fargo Bank,Greenwood Village,CO,80112,Bank Fees,
Colorado Optometric Association Small Donor Committee,Small Donor Committee,1000,1/11/21 0:00,All Together Colorado,Denver,CO,80206,Contributions,
Colorado Optometric Association Small Donor Committee,Small Donor Committee,1000,1/11/21 0:00,Better Colorado Alliance,Denver,CO,80206,Contributions,
Colorado Optometric Association Small Donor Committee,Small Donor Committee,1000,1/11/21 0:00,Senate Majority Fund,Denver,CO,80205,Contributions,
Colorado Optometric Association Small Donor Committee,Small Donor Committee,1000,1/11/21 0:00,Restore Colorado Leadership Fund,Loveland,CO,80537,Contributions,
Colorado Republican Leadership Fund,Political Committee,500,1/11/21 0:00,"Strategic Compliance, Llc","Denver, Co",CO,80205,Consultant & Professional Services,Compliance Consulting And Reimbursement Of State Filing Fee
Colorado State Assn. Of Health Underwriters Pac (Csahu),Political Committee,-100,1/11/21 0:00,Committee To Elect Shane Sandridge,Colorado Springs,CO,80921-7677,Returned Expenditure,Check #105 Issuse 8/14/2020 For $100  Was Lost And Never Cashed By Committee To Elect Shane Sandridge
Doctors Company Colorado Pac (Colorado Docpac),Political Committee,185.62,1/11/21 0:00,Wells Fargo Bank,Santa Rosa,CA,95401,Other,Bank Fees
Friends Of Colorado Hospitals (F/K/A Hospitals Express Legislative Preference),Political Committee,52.23,1/11/21 0:00,,,,,Bank Fees,
Gotta Have Faith,Political Committee,800,1/11/21 0:00,Democratic Senate Campaign Fund,Denver,CO,80204,Contributions,
Griswold Leadership Pac,Political Committee,2,1/11/21 0:00,,,,,Bank Fees,
Highlands Ranch Republican Leadership Pac (Hrgop-Pac),Political Committee,500,1/11/21 0:00,"Strategic Compliance, Llc",Denver,CO,80205,Consultant & Professional Services,Compliance Consulting And Reimbursement For State Filing Fees
Leroy Garcia Leadership Fund,Political Committee,47.84,1/11/21 0:00,Two Rivers Bbq,South Fork,CO,81154,"Food, Beverages and Meals",Lunch Meeting
Liberty Leadership Political Action Committee,Political Committee,500,1/11/21 0:00,"Strategic Compliance, Llc",Denver,CO,80205,Consultant & Professional Services,Compliance Services And Reimbursement For State Filing Fees
"Mednax, Inc. Federal Political Action Committee",Political Committee,2500,1/11/21 0:00,Better Colorado Alliance,Denver,CO,80206,Contributions,Political Contribution
"Mednax, Inc. Federal Political Action Committee",Political Committee,5000,1/11/21 0:00,All Together Colorado,Denver,CO,80206,Contributions,Political Contribution
Navigator Pac,Political Committee,500,1/11/21 0:00,"Strategic Compliance, Llc",Denver,CO,80205,Consultant & Professional Services,Compliance Consulting And Reimbursement For State Filing Fee
"Rx Pharmacies Plus, Inc - Political Action Committee",Political Committee,1000,1/11/21 0:00,Senate Majority Fund,Denver,CO,80205,Contributions,
"Rx Pharmacies Plus, Inc - Political Action Committee",Political Committee,1000,1/11/21 0:00,Restore Colorado Leadership Fund,Loveland,CO,80537,Contributions,
Southern Colorado Values Pac,Political Committee,4,1/11/21 0:00,Firstbank North,Arvada,CO,80006,Bank Fees,
The Right Leadership Pac,Political Committee,500,1/11/21 0:00,"Strategic Compliance, Llc",Denver,CO,80205,Consultant & Professional Services,Compliance Consulting And Reimbursement Of State Filing Fee
Unite Colorado,Political Committee,250,1/11/21 0:00,Polestar,Denver,CO,80203,Consultant & Professional Services,Monthly Consulting Fee
United Colorado Committee,Political Party Committee,10,1/11/21 0:00,Godaddy.Com,Scottsdale,AZ,85260,Rent & Utilities,In Kind - Web Hosting
Verizon Good Government Club Of Colorado,Political Committee,2.51,1/11/21 0:00,"Wells Fargo, N.A.",Charlotte,NC,28262,Bank Fees,Bank Fees
Western Republican Values,Political Committee,500,1/11/21 0:00,"Strategic Compliance, Llc",Denver,CO,80205,Consultant & Professional Services,Compliance Consulting And Reimbursement For State Filing Fee
Colorado Academy Of Family Physicians Political Committee,Political Committee,1000,1/12/21 0:00,Senate Majority Fund,Denver,CO,80205,Contributions,
Colorado Academy Of Family Physicians Political Committee,Political Committee,1000,1/12/21 0:00,Restore Colorado Leadership Fund,Loveland,CO,80537,Contributions,
Colorado Academy Of Family Physicians Small Donor Committee (Cafp Sdc),Small Donor Committee,1000,1/12/21 0:00,All Together Colorado,Denver,CO,80206,Contributions,Ticket To Pre-Session Event.
Colorado Academy Of Family Physicians Small Donor Committee (Cafp Sdc),Small Donor Committee,1000,1/12/21 0:00,Better Colorado Alliance,Denver,CO,80206,Contributions,
Colorado State Assn. Of Health Underwriters Pac (Csahu),Political Committee,0.53,1/12/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Colorado State Assn. Of Health Underwriters Pac (Csahu),Political Committee,0.59,1/12/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Committee For Physician Anesthesia Care,Political Committee,1000,1/12/21 0:00,All Together Colorado,Denver,CO,80206,Contributions,
Edie Hooton Leadership Fund,Political Committee,13.92,1/12/21 0:00,Firstbank,Boulder,CO,80302,Bank Fees,
Fenberg Leadership Fund,Political Committee,15.8,1/12/21 0:00,Actblue,Cambridge,MA,2138,Other,Act Blue
Naiop Colorado Pac,Political Committee,500,1/12/21 0:00,Senate Majority Fund,Denver,CO,80205,Contributions,
Naiop Colorado Pac,Political Committee,500,1/12/21 0:00,Restore Colorado Leadership Fund,Loveland,CO,80537,Contributions,
United Mine Workers Of America,Political Committee,100,1/12/21 0:00,,,,,Other,Penalty
Us Anesthesia Partners Colorado State Committee,Political Committee,1000,1/12/21 0:00,Senate Majority Fund,Littleton,CO,80120,Contributions,Political Contribution
Us Anesthesia Partners Colorado State Committee,Political Committee,1000,1/12/21 0:00,Restore Colorado Leadership Fund,Loveland,CO,80537,Contributions,Political Contribution
Us Anesthesia Partners Colorado State Committee,Political Committee,1000,1/12/21 0:00,Better Colorado Alliance,Denver,CO,80206,Contributions,Political Contribution
Us Anesthesia Partners Colorado State Committee,Political Committee,1000,1/12/21 0:00,All Together Colorado,Denver,CO,80206,Contributions,Political Contribution
Vivage,Small Donor Committee,2500,1/12/21 0:00,All Together Colorado,Denver,CO,80206,Contributions,
Vivage,Small Donor Committee,2500,1/12/21 0:00,Better Colorado Alliance,Denver,CO,80206,Contributions,
Vivage,Small Donor Committee,2500,1/12/21 0:00,Senate Majority Fund,Denver,CO,80205,Contributions,
Vivage,Small Donor Committee,2500,1/12/21 0:00,Restore Colorado Leadership Fund,Loveland,CO,80537,Contributions,
We The People Small Donor,Small Donor Committee,10,1/12/21 0:00,Firstbank North,Brighton,CO,80601,Bank Fees,
Associated General Contractors (Agc) Colorado Construction Action Committee,Political Committee,1000,1/13/21 0:00,Senate Majority Fund,Littleton,CO,80120,Contributions,
Blueflower Fund,Small Donor Committee,16.3,1/13/21 0:00,Zoom Video Communications,San Jose,CA,95133,Miscellaneous,
Construction Cooperative Council,Political Committee,625,1/13/21 0:00,Dave Young For Colorado,Greeley,CO,80631,Contributions,
Friends Of Colorado Hospitals (F/K/A Hospitals Express Legislative Preference),Political Committee,-400,1/13/21 0:00,Sonya For Colorado,"Longmont,",CO,80504,Returned Expenditure,Voided 10/5/2020 Check Due To Committee Not Cashing It.
Friends Of Colorado Hospitals (F/K/A Hospitals Express Legislative Preference),Political Committee,-400,1/13/21 0:00,Friends Of Dominick Moreno,Commerce City,CO,80022,Returned Expenditure,Voided 7/22/2020 Contribution Check Due To The Committee Not Cashing It
Friends Of Colorado Hospitals (F/K/A Hospitals Express Legislative Preference),Political Committee,-200,1/13/21 0:00,Iman For Colorado,Aurora,CO,80247,Returned Expenditure,Voided 10/5/2020 Contribution Check Due To Committee Not Cashing It
Friends Of Colorado Hospitals (F/K/A Hospitals Express Legislative Preference),Political Committee,-400,1/13/21 0:00,Catlin For Colorado,Montrose,CO,81403,Returned Expenditure,Voided 10/5/2020 Contribution Check Due To The Committee Not Cashing It
Friends Of Colorado Hospitals (F/K/A Hospitals Express Legislative Preference),Political Committee,-400,1/13/21 0:00,Donald Valdez,La Jara,CO,81140,Returned Expenditure,Voided 10/5/2020 Contribution Check Due To The Committee Not Cashing It
Jessie Pac,Political Committee,106,1/13/21 0:00,Usps - Wheat Ridge,Wheat Ridge,CO,80033,Rent & Utilities,Po Box Rental
Leroy Garcia Leadership Fund,Political Committee,29.85,1/13/21 0:00,Miyake Japanese Restaurant,Pueblo,CO,81008,"Food, Beverages and Meals",Lunch Meeting
Colorado State Assn. Of Health Underwriters Pac (Csahu),Political Committee,0.74,1/14/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Colorado State Assn. Of Health Underwriters Pac (Csahu),Political Committee,0.98,1/14/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Colorado State Assn. Of Health Underwriters Pac (Csahu),Political Committee,0.98,1/14/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Colorado State Assn. Of Health Underwriters Pac (Csahu),Political Committee,0.59,1/14/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Colorado State Assn. Of Health Underwriters Pac (Csahu),Political Committee,0.59,1/14/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Leroy Garcia Leadership Fund,Political Committee,67.32,1/14/21 0:00,The Park Tavern Denver,Denver,CO,80218,"Food, Beverages and Meals",Meeting Expense
Building Bridges For Colorado,Political Committee,2,1/15/21 0:00,1St Bank,Lakewood,CO,80215,Bank Fees,
Coloradans For Western Values Leadership Pac,Political Committee,4,1/15/21 0:00,Us Bank,St. Paul,MN,55101,Bank Fees,
Colorado Democratic Party,Political Party Committee,20,1/15/21 0:00,Squarespace,,,,Office Equipment & Supplies,Software License Fees
Colorado Democratic Party,Political Party Committee,-20,1/15/21 0:00,Squarespace,,,,Office Equipment & Supplies,Offset Due To Update Of Filed Item - Software License Fees
Colorado Democratic Party,Political Party Committee,20,1/15/21 0:00,Squarespace,New York,NY,10014,Office Equipment & Supplies,Software License Fees
Colorado Radiological Society Political Committee,Political Committee,5,1/15/21 0:00,,,,,Bank Fees,
Colorado State Assn. Of Health Underwriters Pac (Csahu),Political Committee,0.98,1/15/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Colorado State Assn. Of Health Underwriters Pac (Csahu),Political Committee,0.74,1/15/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Combine,Small Donor Committee,40,1/15/21 0:00,Wild Apricot,Toronto,CA,ON M5J 2L7,Advertising,Wild Apricot Member Services Website Administration
Committee For Physician Anesthesia Care,Political Committee,20,1/15/21 0:00,,,,,Bank Fees,
Garnett Leadership Fund,Political Committee,400,1/15/21 0:00,Dominique Jackson For Colorado House,Aurora,CO,80011,Contributions,
Jeni Arndt Leadership Fund,Political Committee,2,1/15/21 0:00,1St Bank,Denver,CO,80218,Bank Fees,
Pettersen Pac,Political Committee,5,1/15/21 0:00,Us Bank,Lakewood,CO,80227,Bank Fees,
Rosenthal Majority Fund,Political Committee,10,1/15/21 0:00,1St Bank,Denver,CO,80231,Bank Fees,Inactivity Fee
Rosenthal Majority Fund,Political Committee,10,1/15/21 0:00,1St Bank,Denver,CO,80231,Bank Fees,Inactivity Fee
Chris Kolker Leadership Fund,Political Committee,24.69,1/17/21 0:00,Actblue,Somervile,MA,2144,Fundraising Expenses,
Colorado Working Families Party Small Donor Committee,Small Donor Committee,0.37,1/17/21 0:00,Actblue Technical Services,Somerville,MA,2144,Fundraising Expenses,Donation Processing Fee
Griswold Leadership Pac,Political Committee,74.07,1/17/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Credit Card Processing Fee
Leroy Garcia Leadership Fund,Political Committee,7.9,1/17/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Transaction Fee
Jackson County Democratic Central Committee,Political Party Committee,25.94,1/18/21 0:00,Courtney  Miller,Walden,CO,8048-,"Food, Beverages and Meals",
Jackson County Democratic Central Committee,Political Party Committee,30.94,1/18/21 0:00,The River Rock Cafe,Walden,CO,80480,"Food, Beverages and Meals",Meeting Room
Colorado State Assn. Of Health Underwriters Pac (Csahu),Political Committee,0.59,1/19/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Griswold Leadership Pac,Political Committee,4.85,1/19/21 0:00,,,,,Office Equipment & Supplies,1099 Software
Lundeen Leadership Fund,Political Committee,220.68,1/19/21 0:00,Capitol Grill,Denver,CO,80202,"Food, Beverages and Meals",
Colorado Democratic Party,Political Party Committee,2699.69,1/20/21 0:00,Matthew  Mcgovern,Denver,CO,80203,Employee Services,Payroll
Colorado Democratic Party,Political Party Committee,2699.69,1/20/21 0:00,Matthew  Mcgovern,Denver,CO,80203,Employee Services,Payroll
Colorado Democratic Party,Political Party Committee,736.25,1/20/21 0:00,Paychex,Norristown,PA,19403,Employee Services,Payroll Taxes
Mckesson Corporation Employees Political Fund,Political Committee,-100,1/20/21 0:00,Colin For Colorado,Littleton,CO,80127,Returned Expenditure,2020 General
Mckesson Corporation Employees Political Fund,Political Committee,-200,1/20/21 0:00,Colin For Colorado,Littleton,CO,80127,Returned Expenditure,2020 Primary
Atmos Energy Corporation Pac,Political Committee,-1000,1/21/21 0:00,Values First Colorado,Golden,CO,80401,Returned Expenditure,Void Of 7/29/2020 Contribution To State 527 Organization
Atmos Energy Corporation Pac,Political Committee,-200,1/21/21 0:00,Kevin Van Winkle For Colorado,Highlands Ranch,CO,80126,Returned Expenditure,Void Of 7/29/2020 Political Contribution
Atmos Energy Corporation Pac,Political Committee,-200,1/21/21 0:00,Committee To Elect Ron Hanks To Hd60,Redacted By Sos,CO,80000,Returned Expenditure,Void Of 7/29/2020 Political Contribution
Atmos Energy Corporation Pac,Political Committee,-200,1/21/21 0:00,Fenberg For Senate,Boulder,CO,80302,Returned Expenditure,Void Of 7/29/2020 Political Contribution
Colorado Cleantech Pac,Political Committee,10,1/21/21 0:00,Wells Fargo,Denver,CO,80202,Bank Fees,Wells Fargo Bank Fees
Dlcc Colorado (Democratic Legislative Campaign Committee Colorado),Small Donor Committee,10,1/22/21 0:00,Amalgamated Bank,New York,NY,10001,Bank Fees,
Libertarian Party Of Colorado (Lpco),Political Party Committee,90,1/22/21 0:00,Mike  Spalding,Littleton,CO,80127,Advertising,Call To Convention Newspaper Ad
Valdez For Colorado Rainbow Fund,Political Committee,66.02,1/22/21 0:00,Mailchimp,Atlanta,GA,30308,Consultant & Professional Services,
Way To Lead Colorado,Political Committee,10,1/22/21 0:00,Amalgamated Bank,Washington,D.,20006,Bank Fees,
Approval Voting Party,Political Party Committee,16.23,1/23/21 0:00,Zoom Video Communications,San Jose,CA,95113,Office Equipment & Supplies,
Libertarian Party Of Colorado (Lpco),Political Party Committee,10,1/23/21 0:00,Colorado Secretary Of State,Denver,CO,80290,Other,Annual Periodic Report
Colorado Working Families Party Small Donor Committee,Small Donor Committee,1.29,1/24/21 0:00,Actblue Technical Services,Somerville,MA,2144,Fundraising Expenses,Donation Processing Fee
Griswold Leadership Pac,Political Committee,74.07,1/24/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Credit Card Processing Fee
