District,candidate,Party,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Senate District 22,"Danielson, Jessie",Democratic,11.99,8/23/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,18,9/15/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,-229.28,9/29/20 0:00,Colorado Democratic Party,Denver,CO,80203,Donation for Independent Expenditures,Offset Due To Update Of Filed Item - Email List Rental (Dscf)
Senate District 22,"Danielson, Jessie",Democratic,229.28,9/29/20 0:00,Colorado Democratic Party,Denver,CO,80203,Other,Email List Rental (Dscf)
Senate District 22,"Danielson, Jessie",Democratic,3500,10/1/20 0:00,Garfield County Democratic Party,Glenwood Springs,CO,81601,Miscellaneous,
Senate District 22,"Danielson, Jessie",Democratic,150,10/2/20 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,1.98,10/4/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,18,10/5/20 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,2.38,10/11/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,3.95,10/18/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,11.99,10/23/20 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,30,10/23/20 0:00,Cricket Wireless,Wheat Ridge,CO,80033,Telephone,
Senate District 22,"Danielson, Jessie",Democratic,0.4,11/1/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,-500,11/2/20 0:00,Jessie Pac,Wheat Ridge,CO,80034,Returned Expenditure,Contribution Refund
Senate District 22,"Danielson, Jessie",Democratic,18,11/2/20 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,150,11/2/20 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,11.99,11/23/20 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,30,11/23/20 0:00,Cricket Wireless,Wheat Ridge,CO,80033,Telephone,
Senate District 22,"Danielson, Jessie",Democratic,0.4,11/30/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,150,12/2/20 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,18,12/3/20 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,11.99,12/23/20 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,30,12/23/20 0:00,Cricket Wireless,Wheat Ridge,CO,80033,Telephone,
Senate District 22,"Danielson, Jessie",Democratic,100,12/23/20 0:00,Food Bank Of The Rockies,Denver,CO,80239,Miscellaneous,
Senate District 22,"Danielson, Jessie",Democratic,111.8,12/31/20 0:00,Usps.Com,Washington,DC,20260,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,0.99,12/31/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,11.99,10/1/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,18,10/4/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,200,10/19/21 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,11.99,10/25/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,200,10/26/21 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,200,11/2/21 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,1085.79,11/3/21 0:00,Amazon.Com Inc.,Seattle,WA,98109,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,18,11/3/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,11.99,11/22/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,15.09,11/30/21 0:00,,,,,Advertising,
Senate District 22,"Danielson, Jessie",Democratic,625,11/30/21 0:00,Jessie Pac,Wheat Ridge,CO,80034,Contributions,
Senate District 22,"Danielson, Jessie",Democratic,500,11/30/21 0:00,Colorado Democratic Party,Denver,CO,80203,Other,Voter File Subscription
Senate District 22,"Danielson, Jessie",Democratic,5.39,12/1/21 0:00,,,,,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,100,12/2/21 0:00,Apple Inc.,Cupertino,CA,95014,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,1240.92,12/2/21 0:00,Apple Inc.,Cupertino,CA,95014,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,200,12/2/21 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,18,12/2/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,11.99,12/22/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,617.89,12/30/21 0:00,Amazon.Com Inc.,Seattle,WA,98109,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,595.64,12/31/21 0:00,Amazon.Com Inc.,Seattle,WA,98109,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,1667,12/31/21 0:00,Senate Democratic Caucus Fund,Denver,CO,80203,Other,Caucus Dues
Senate District 22,"Danielson, Jessie",Democratic,611.3,12/31/21 0:00,Wayfair Llc,Boston,MA,2116,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,696.32,12/31/21 0:00,Mike'S Camera,Arvada,CO,80004,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,57,1/3/19 0:00,Gusto,Denver,CO,80202,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,250,1/4/19 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,25,1/4/19 0:00,Google,Mountain View,CA,94043,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,129.16,1/7/19 0:00,City Grille,Denver,CO,80203,"Food, Beverages and Meals",
Senate District 22,"Danielson, Jessie",Democratic,0.72,1/13/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,82,1/14/19 0:00,Usps - Wheat Ridge,Wheat Ridge,CO,80033,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,800,1/14/19 0:00,"Senate Democratic Caucus	Fund",Denver,CO,80202,Miscellaneous,Dues
Senate District 22,"Danielson, Jessie",Democratic,5000,1/14/19 0:00,Rachel  Caine,Denver,CO,80203,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,0.79,1/20/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,9.29,1/27/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,12,1/31/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,250,2/4/19 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,25,2/4/19 0:00,Google,Mountain View,CA,94043,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,57,2/4/19 0:00,Gusto,Denver,CO,80202,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,0.72,2/17/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,128.11,2/22/19 0:00,Rhiannon  Scanlon,Denver,CO,80218,"Food, Beverages and Meals",Town Hall Food & Coffee Reimbursement
Senate District 22,"Danielson, Jessie",Democratic,0.99,2/24/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,12,2/28/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,0.4,3/3/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,250,3/4/19 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,18.44,3/4/19 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,57,3/4/19 0:00,Gusto,Denver,CO,80202,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,0.72,3/17/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,33.78,3/24/19 0:00,Actblue Technical Services,Somerville,MA,2144,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,12,3/29/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,0.4,3/31/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,250,4/2/19 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,16.66,4/2/19 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,57,4/2/19 0:00,Gusto,Denver,CO,80202,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,5.34,4/7/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,0.72,4/14/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,0.2,4/28/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,12,4/30/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,250,5/2/19 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,16.66,5/2/19 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,57,5/2/19 0:00,Gusto,Denver,CO,80202,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,4,5/3/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,3.76,5/5/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,1.98,5/12/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,2.38,5/26/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,12,5/31/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,5.14,6/2/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,250,6/3/19 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,16.66,6/3/19 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,57,6/4/19 0:00,Gusto,Denver,CO,80202,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,7.9,6/16/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,12,6/28/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,17.59,6/30/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,16.66,7/2/19 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,57,7/2/19 0:00,Gusto,Denver,CO,80202,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,250,7/2/19 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,1.39,7/28/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,12,7/31/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,16.66,8/2/19 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,57,8/2/19 0:00,Gusto,Denver,CO,80202,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,250,8/2/19 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,0.4,8/4/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,3.95,8/11/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,4.35,8/25/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,12,8/30/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,1.39,9/1/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,16.66,9/3/19 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,250,9/3/19 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,57,9/4/19 0:00,Gusto,Denver,CO,80202,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,1.39,9/29/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,12,9/30/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,0.4,9/30/19 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,25,12/3/18 0:00,Google,Mountain View,CA,94043,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,250,12/3/18 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,57,12/4/18 0:00,Gusto,Denver,CO,80202,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,799.9,12/5/18 0:00,Colorado + Brew Pub,Wheat Ridge,CO,80033,"Food, Beverages and Meals",
Senate District 22,"Danielson, Jessie",Democratic,4282.8,12/5/18 0:00,Mad Dog Mail Inc.,Fernandina Beach,FL,32034,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,1204.07,12/5/18 0:00,Colorado Democratic Party,Denver,CO,80203,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,204.28,12/6/18 0:00,Ironworks Brewery & Pub,Lakewood,CO,80228,"Food, Beverages and Meals",
Senate District 22,"Danielson, Jessie",Democratic,74.08,12/9/18 0:00,Actblue Technical Services,Somerville,MA,2144,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,17.51,12/16/18 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,78.08,12/17/18 0:00,Centurylink,Monroe,LA,71203,Telephone,
Senate District 22,"Danielson, Jessie",Democratic,25,12/20/18 0:00,Cricket Wireless,Wheat Ridge,CO,80033,Telephone,
Senate District 22,"Danielson, Jessie",Democratic,4.74,12/23/18 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,0.4,12/30/18 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,16.66,1/2/20 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,57,1/3/20 0:00,Gusto,Denver,CO,80202,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,500,1/8/20 0:00,Jessie Pac,Wheat Ridge,CO,80034,Contributions,
Senate District 22,"Danielson, Jessie",Democratic,381.84,1/9/20 0:00,Coperta,Denver,CO,80205,"Food, Beverages and Meals",
Senate District 22,"Danielson, Jessie",Democratic,1.75,1/9/20 0:00,,,,,Travel & Lodging,
Senate District 22,"Danielson, Jessie",Democratic,6.25,1/21/20 0:00,,,,,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,0.4,1/26/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,0.4,2/2/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,16.66,2/3/20 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,77,2/5/20 0:00,Usps - Wheat Ridge,Wheat Ridge,CO,80033,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,67.2,2/21/20 0:00,Officemax,Arvada,CO,80002,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,0.4,3/1/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,140.35,3/2/20 0:00,4Inkjets,Long Beach,CA,90808,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,96.74,3/2/20 0:00,Amazon.Com Inc.,Seattle,WA,98109,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,17.71,3/2/20 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,1.39,3/8/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,810,3/16/20 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,785,3/16/20 0:00,"Senate Democratic Caucus	Fund",Denver,CO,80202,Travel & Lodging,
Senate District 22,"Danielson, Jessie",Democratic,714.04,3/16/20 0:00,Colorado State Treasurer,Denver,CO,80203,Other,Reconcile Unemployment Insurance
Senate District 22,"Danielson, Jessie",Democratic,1.98,3/22/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,70.31,3/23/20 0:00,Cricket Wireless,Wheat Ridge,CO,80033,Telephone,
Senate District 22,"Danielson, Jessie",Democratic,10.44,3/23/20 0:00,,,,,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,0.4,3/29/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,12,3/31/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,0.4,3/31/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,18,4/2/20 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,40.8,4/2/20 0:00,Amazon.Com Inc.,Seattle,WA,98109,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,30,4/23/20 0:00,Cricket Wireless,Wheat Ridge,CO,80033,Telephone,
Senate District 22,"Danielson, Jessie",Democratic,1.98,4/26/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,12,4/30/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,271.56,4/30/20 0:00,Colorado Democratic Party,Denver,CO,80203,Other,Email List At Fair Market Value
Senate District 22,"Danielson, Jessie",Democratic,22.69,5/3/20 0:00,Actblue Technical Services,Somerville,MA,2144,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,4,5/4/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,18,5/4/20 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,3.95,5/10/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,1.98,5/17/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,11.99,5/26/20 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,30,5/26/20 0:00,Cricket Wireless,Wheat Ridge,CO,80033,Telephone,
Senate District 22,"Danielson, Jessie",Democratic,12,5/29/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,1.39,5/31/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,18,6/2/20 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,11.99,6/23/20 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,30,6/24/20 0:00,Cricket Wireless,Wheat Ridge,CO,80033,Telephone,
Senate District 22,"Danielson, Jessie",Democratic,12,6/30/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,0.4,6/30/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,0.99,7/5/20 0:00,,,,,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,31.6,7/12/20 0:00,Actblue Technical Services,Somerville,MA,2144,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,18,7/16/20 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,54.38,7/19/20 0:00,Actblue Technical Services,Somerville,MA,2144,Bank Fees,
Senate District 22,"Danielson, Jessie",Democratic,11.99,7/23/20 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,30,7/23/20 0:00,Cricket Wireless,Wheat Ridge,CO,80033,Telephone,
