District,candidate,Party,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Governor,"Polis, Jared",Democratic,26360.42,4/15/22 0:00,Adp,Roseland,NJ,7068,Employee Services,Payroll
Governor,"Polis, Jared",Democratic,25200,1/24/22 0:00,Ridder-Braden,Denver,CO,80202,Consultant & Professional Services,Survey Research
Governor,"Polis, Jared",Democratic,25049.37,3/28/22 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
Governor,"Polis, Jared",Democratic,25000,3/16/22 0:00,Ridder-Braden,Denver,CO,80202,Consultant & Professional Services,Survey Research
Governor,"Ganahl, Heidi",Republican,24500,10/1/21 0:00,Public Opinion Strategies Llc,Alexandria,VA,22314,Other,6590 ∑ Other Research Expense
Governor,"Ganahl, Heidi",Republican,24500,11/19/21 0:00,Public Opinion Strategies Llc,Alexandria,VA,22314,Other,6590 ∑ Other Research Expense
Governor,"Neuschwanger, Danielle",American Constitution Party,24000,9/15/21 0:00,Outsuite Llc,Cleerwater,FL,33761,Consultant & Professional Services,"Campaign Marketing, Videos, Web Design, Social Media Support Specialist (See Corresponding Candidate Loan Accruals)"
Governor,"Polis, Jared",Democratic,23500,10/8/21 0:00,Ridder-Braden,Denver,CO,80202,Consultant & Professional Services,Survey Research
Governor,"Polis, Jared",Democratic,23365.07,2/23/22 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
Governor,"Polis, Jared",Democratic,22367.6,2/15/19 0:00,Perkins Coie,Seattle,WA,98101,Consultant & Professional Services,Legal Services
Governor,"Ganahl, Heidi",Republican,22010,2/1/22 0:00,Blitz Canvassing Llc,Denver,CO,80231,Other,7490 ∑ Other Consultants
Governor,"Polis, Jared",Democratic,20030,12/1/20 0:00,Ascend Digital Services,Boulder,CO,80303,Other,Data Acquisition
Secretary of State,"Anderson, Pam",Republican,20000,4/1/22 0:00,Blitz Canvassing,Denver,CO,80231,Consultant & Professional Services,Petition Circulation
Governor,"Polis, Jared",Democratic,20000,10/14/21 0:00,Ascend Digital Services,Washington,DC,20001,Advertising,Online Advertising
Attorney General,"Weiser, Philip",Democratic,20000,1/25/19 0:00,"Putnam Partners, Llc",Washington,DC,20005,Consultant & Professional Services,2018 Win Bonus
Governor,"Polis, Jared",Democratic,19242.93,1/26/22 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
Governor,"Polis, Jared",Democratic,16800,2/3/22 0:00,Ridder-Braden,Denver,CO,80202,Consultant & Professional Services,Survey Research
Governor,"Polis, Jared",Democratic,16160,1/11/22 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
Secretary of State,"Anderson, Pam",Republican,15000,3/8/22 0:00,Blitz Canvassing,Denver,CO,80231,Consultant & Professional Services,Petition Circulation
Governor,"Polis, Jared",Democratic,15000,12/26/19 0:00,Precision Strategies Llc,Washington,DC,20001,Consultant & Professional Services,Digital Media Services
Attorney General,"Weiser, Philip",Democratic,14019.78,2/10/22 0:00,Gusto,San Francisco,CA,94107,Employee Services,Feb 2022 Mid-Month Payroll And Taxes
Governor,"Polis, Jared",Democratic,12939.33,12/27/18 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
Governor,"Polis, Jared",Democratic,12294.68,12/10/21 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
Governor,"Polis, Jared",Democratic,12294.67,12/28/21 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
Governor,"Polis, Jared",Democratic,11831.76,4/15/22 0:00,Adp,Roseland,NJ,7068,Employee Services,Payroll
Attorney General,"Weiser, Philip",Democratic,11799.75,12/28/21 0:00,Gusto,San Francisco,CA,94107,Employee Services,December 2021 End Of Month Payroll And Taxes
Attorney General,"Weiser, Philip",Democratic,11595.83,12/10/21 0:00,Gusto,San Francisco,CA,94107,Employee Services,December 2021 Mid-Month Payroll And Taxes
Governor,"Polis, Jared",Democratic,11511.73,12/11/18 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
Governor,"Polis, Jared",Democratic,11413.96,3/28/22 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll Taxes
Governor,"Polis, Jared",Democratic,11329.61,11/24/21 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
Governor,"Polis, Jared",Democratic,10905.9,3/25/22 0:00,Jocelyn  Augustino,Alexandria,VA,22302,Miscellaneous,Photography
Attorney General,"Weiser, Philip",Democratic,10785.13,10/13/21 0:00,Gusto,San Francisco,CA,94107,Employee Services,Oct 2021 Mid-Month Payroll & Taxes
Attorney General,"Weiser, Philip",Democratic,10767.69,11/9/21 0:00,Gusto,San Francisco,CA,94107,Employee Services,Nov 2021 Mid-Month Payroll And Taxes
Governor,"Polis, Jared",Democratic,10744.66,2/23/22 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll Taxes
Attorney General,"Weiser, Philip",Democratic,10593.08,9/27/21 0:00,Gusto,San Francisco,CA,94107,Employee Services,September 2021 End Of Month Payroll & Taxes
Attorney General,"Weiser, Philip",Democratic,10086.89,11/24/21 0:00,Gusto,San Francisco,CA,94107,Employee Services,November 2021 End Of Month Payroll And Taxes
Attorney General,"Weiser, Philip",Democratic,10040.8,4/12/22 0:00,Gusto,San Francisco,CA,94107,Employee Services,April 2022 Mid-Month Payroll And Taxes
Secretary of State,"O'Donnell, Francis",Republican,10000,12/14/21 0:00,Capital Connections,Casper,WY,82609,Consultant & Professional Services,Strategic Plan For Candidate Campaign.
Governor,"Polis, Jared",Democratic,10000,7/2/21 0:00,Jones Mandel,Seattle,WA,98107,Consultant & Professional Services,Research
Governor,"Polis, Jared",Democratic,10000,8/2/21 0:00,Jones Mandel,Seattle,WA,98107,Consultant & Professional Services,Research
Governor,"Polis, Jared",Democratic,10000,8/17/21 0:00,Jones Mandel,Seattle,WA,98107,Consultant & Professional Services,Research
Governor,"Polis, Jared",Democratic,10000,2/8/22 0:00,Givewise,Denver,CO,80211,Fundraising Expenses,Fundraising
Governor,"Polis, Jared",Democratic,10000,2/23/22 0:00,Givewise,Denver,CO,80211,Fundraising Expenses,Fundraising
Governor,"Polis, Jared",Democratic,10000,3/29/22 0:00,Givewise,Denver,CO,80211,Fundraising Expenses,Fundraising
Governor,"Polis, Jared",Democratic,10000,10/5/21 0:00,Givewise,Denver,CO,80211,Fundraising Expenses,Fundraising
Governor,"Polis, Jared",Democratic,10000,11/2/21 0:00,Givewise,Denver,CO,80211,Fundraising Expenses,Fundraising
Governor,"Polis, Jared",Democratic,10000,12/2/21 0:00,Givewise,Denver,CO,80211,Fundraising Expenses,Fundraising
Governor,"Polis, Jared",Democratic,10000,12/27/21 0:00,Givewise,Denver,CO,80211,Fundraising Expenses,Fundraising
Attorney General,"Weiser, Philip",Democratic,10000,12/12/18 0:00,Hilltop Public Solutions,Washington,DC,20007,Consultant & Professional Services,Campaign Consulting Services
Governor,"Polis, Jared",Democratic,9924.96,1/26/22 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll Taxes
Attorney General,"Weiser, Philip",Democratic,9780.19,4/26/22 0:00,Gusto,San Francisco,CA,94107,Employee Services,April 2022 End Of Month Payroll And Taxes
Attorney General,"Weiser, Philip",Democratic,9260.78,10/26/21 0:00,Gusto,San Francisco,CA,94107,Employee Services,Oct 2021 End Of Month Payroll And Taxes
Attorney General,"Weiser, Philip",Democratic,9015.39,3/10/22 0:00,Gusto,San Francisco,CA,94107,Employee Services,March 2022 Mid-Month Payroll & Taxes
Governor,"Polis, Jared",Democratic,8955.68,1/10/19 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
Attorney General,"Weiser, Philip",Democratic,8814.55,3/28/22 0:00,Gusto,San Francisco,CA,94107,Employee Services,March 2022 End Of Month Payroll & Taxes
Secretary of State,"Griswold, Jena",Democratic,8611.56,3/2/22 0:00,4 Degrees,Lakewood,CO,80226,Advertising,Digital Ads
Governor,"Polis, Jared",Democratic,8546.53,1/11/22 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll Taxes
Governor,"Ganahl, Heidi",Republican,8333.79,10/25/21 0:00,Adp,Aurora,CO,80014,Other,7110 ∑ Salary Expense
Governor,"Ganahl, Heidi",Republican,8315,1/13/22 0:00,Pinnacle Political Resources,Castle Rock,CO,80108,Other,7430 ∑ Fundraising Consultants
Governor,"Polis, Jared",Democratic,8272.87,2/21/19 0:00,Blue Mountain Arts,Boulder,CO,80306,Miscellaneous,Printing/Production/Postage
Governor,"Polis, Jared",Democratic,8100,3/16/21 0:00,Ngp Van,Washington,DC,20005,Consultant & Professional Services,Database Management System
Governor,"Polis, Jared",Democratic,8100,6/16/21 0:00,Ngp Van,Washington,DC,20005,Consultant & Professional Services,Database Management System
Governor,"Polis, Jared",Democratic,8100,9/16/21 0:00,Ngp Van,Washington,DC,20005,Consultant & Professional Services,Database Management System
Governor,"Polis, Jared",Democratic,8100,12/9/20 0:00,Ngp Van,Washington,DC,20005,Consultant & Professional Services,Database Management System
Governor,"Polis, Jared",Democratic,8100,11/11/21 0:00,Ngp Van,Washington,DC,20005,Consultant & Professional Services,Database Management System
Governor,"Polis, Jared",Democratic,8092.34,11/10/21 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
Attorney General,"Weiser, Philip",Democratic,8018.99,7/12/21 0:00,Gusto,San Francisco,CA,94107,Employee Services,July 2021 Mid Month Payroll & Taxes
Secretary of State,"Griswold, Jena",Democratic,8000,2/22/22 0:00,4 Degrees,Lakewood,CO,80226,Consultant & Professional Services,Digital Acquisition
Governor,"Polis, Jared",Democratic,8000,9/29/21 0:00,Jones Mandel,Seattle,WA,98107,Consultant & Professional Services,Research
Governor,"Polis, Jared",Democratic,8000,3/16/22 0:00,Precision Strategies Llc,Washington,DC,20001,Consultant & Professional Services,Digital Media Consulting
Governor,"Polis, Jared",Democratic,8000,4/14/22 0:00,Precision Strategies Llc,Washington,DC,20001,Consultant & Professional Services,Digital Media Consulting
Governor,"Ganahl, Heidi",Republican,7989.07,11/5/21 0:00,Adp,Aurora,CO,80014,Other,7110 ∑ Salary Expense
Governor,"Polis, Jared",Democratic,7968.52,3/10/22 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll Taxes
Governor,"Polis, Jared",Democratic,7704.27,12/3/18 0:00,Anlance,Fort Collins,CO,80524,Consultant & Professional Services,Professional Services
Governor,"Ganahl, Heidi",Republican,7585.58,4/25/22 0:00,Adp,Aurora,CO,80014,Other,7110 ∑ Salary Expense
Governor,"Polis, Jared",Democratic,7500,5/19/21 0:00,Meltwater News Us Inc.,Pasadena,CA,91185,Other,News Clipping Service
Governor,"Polis, Jared",Democratic,7500,8/6/21 0:00,Ascend Digital Services,Boulder,CO,80303,Advertising,Online Advertising
Attorney General,"Weiser, Philip",Democratic,7499.32,1/11/22 0:00,Gusto,San Francisco,CA,94107,Employee Services,Jan 2022 Mid-Month Payroll & Taxes
Governor,"Ganahl, Heidi",Republican,7410.69,2/28/22 0:00,Adp,Aurora,CO,80014,Other,7110 ∑ Salary Expense
Governor,"Ganahl, Heidi",Republican,7410.68,1/14/22 0:00,Adp,Aurora,CO,80014,Other,7110 ∑ Salary Expense
Governor,"Ganahl, Heidi",Republican,7410.68,3/28/22 0:00,Adp,Aurora,CO,80014,Other,7110 ∑ Salary Expense
Governor,"Ganahl, Heidi",Republican,7410.68,4/8/22 0:00,Adp,Aurora,CO,80014,Other,7110 ∑ Salary Expense
Governor,"Ganahl, Heidi",Republican,7410.66,1/31/22 0:00,Adp,Aurora,CO,80014,Other,7110 ∑ Salary Expense
Governor,"Ganahl, Heidi",Republican,7410.66,2/14/22 0:00,Adp,Aurora,CO,80014,Other,7110 ∑ Salary Expense
Governor,"Ganahl, Heidi",Republican,7410.66,3/14/22 0:00,Adp,Aurora,CO,80014,Other,7110 ∑ Salary Expense
Attorney General,"Weiser, Philip",Democratic,7042.37,9/10/21 0:00,Gusto,San Francisco,CA,94107,Employee Services,September 2021 Mid-Month Payroll & Taxes
Governor,"Polis, Jared",Democratic,6860.12,8/10/21 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
Governor,"Ganahl, Heidi",Republican,6796.73,12/31/21 0:00,Adp,Aurora,CO,80014,Other,7110 ∑ Salary Expense
Governor,"Polis, Jared",Democratic,6596.37,9/10/21 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
Governor,"Polis, Jared",Democratic,6596.37,10/13/21 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
Governor,"Polis, Jared",Democratic,6596.36,9/27/21 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
Governor,"Polis, Jared",Democratic,6596.36,10/26/21 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
Governor,"Polis, Jared",Democratic,6587.61,2/16/22 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
Attorney General,"Weiser, Philip",Democratic,6526.63,6/25/21 0:00,Gusto,San Francisco,CA,94107,Employee Services,June 2021 End Of Month Payroll & Taxes
Attorney General,"Weiser, Philip",Democratic,6505.64,7/27/21 0:00,Gusto,San Francisco,CA,94107,Employee Services,July 2021 End Of Month Payroll & Taxes
Attorney General,"Weiser, Philip",Democratic,6500.26,8/10/21 0:00,Gusto,San Francisco,CA,94107,Employee Services,August 2021 Mid-Month Payroll And Taxes
Secretary of State,"Griswold, Jena",Democratic,6488,4/13/22 0:00,"Irn, Inc.",Denver,CO,80201,Other,Research
Attorney General,"Kellner, John",Republican,6332.5,4/12/22 0:00,Maybell Group,Auroraa,CO,80046,Other,7430 ∑ Fundraising Consultants
Governor,"Polis, Jared",Democratic,6300,3/4/22 0:00,Ngp Van,Washington,DC,20005,Consultant & Professional Services,Database Management System
Attorney General,"Weiser, Philip",Democratic,6219.41,6/10/21 0:00,Gusto,San Francisco,CA,94107,Employee Services,June 2021 Midmonth Payroll & Taxes
Governor,"Polis, Jared",Democratic,6178.06,3/10/22 0:00,United Healthcare,Salt Lake City,UT,84130,Employee Services,Health Insurance
Governor,"Ganahl, Heidi",Republican,6095,9/29/21 0:00,Allday Designs Llc,Denver,CO,80223,Other,7690 ∑ Other Travel Expense
Governor,"Ganahl, Heidi",Republican,6094.72,12/17/21 0:00,Adp,Aurora,CO,80014,Other,7110 ∑ Salary Expense
Governor,"Ganahl, Heidi",Republican,6094.7,11/19/21 0:00,Adp,Aurora,CO,80014,Other,7110 ∑ Salary Expense
Governor,"Ganahl, Heidi",Republican,6094.7,12/3/21 0:00,Adp,Aurora,CO,80014,Other,7110 ∑ Salary Expense
Governor,"Polis, Jared",Democratic,6084.38,12/10/21 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll Taxes
Governor,"Polis, Jared",Democratic,6049.32,12/28/21 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll Taxes
Governor,"Polis, Jared",Democratic,6000,12/4/18 0:00,Counting & Compliance Llc,Centennial,CO,80122,Consultant & Professional Services,Compliance Consulting
Governor,"Polis, Jared",Democratic,5886.25,3/29/22 0:00,Ascend Digital Services,Washington,DC,20001,Consultant & Professional Services,Digital Media Services
Governor,"Polis, Jared",Democratic,5765,12/1/18 0:00,1722 Llc,Boulder,CO,80302,Rent & Utilities,Rent
Governor,"Polis, Jared",Democratic,5734.25,8/26/21 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
Attorney General,"Weiser, Philip",Democratic,5728.38,8/4/21 0:00,Campaign Products Of The Rockies,Denver,CO,80203,Fundraising Expenses,Letter Printing And Postage
Governor,"Ganahl, Heidi",Republican,5697.25,4/1/22 0:00,Pinnacle Political Resources,Castle Rock,CO,80108,Other,7430 ∑ Fundraising Consultants
Governor,"Polis, Jared",Democratic,5681.82,7/9/19 0:00,Precision Strategies Llc,Washington,DC,20001,Consultant & Professional Services,Digital Media Services
Attorney General,"Weiser, Philip",Democratic,5509.52,1/26/22 0:00,Gusto,San Francisco,CA,94107,Employee Services,Jan 2022 End Of Month Payroll & Taxes
Secretary of State,"Griswold, Jena",Democratic,5488.81,4/4/22 0:00,4 Degrees,Lakewood,CO,80226,Advertising,Digital Ads
Attorney General,"Weiser, Philip",Democratic,5487.02,2/23/22 0:00,Gusto,San Francisco,CA,94107,Employee Services,Feb 2022 End Of The Month Payroll & Taxes
Governor,"Polis, Jared",Democratic,5441.49,12/27/18 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll Taxes
Governor,"Polis, Jared",Democratic,5420,1/31/22 0:00,Ascend Digital Services,Washington,DC,20001,Consultant & Professional Services,Digital Media Services
Governor,"Polis, Jared",Democratic,5351.07,1/7/19 0:00,At & T Wireless,Carol Stream,IL,60197,Telephone,Cell Phones
Governor,"Polis, Jared",Democratic,5345.58,11/24/21 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll Taxes
Governor,"Polis, Jared",Democratic,5320,10/5/21 0:00,Ascend Digital Services,Washington,DC,20001,Consultant & Professional Services,Digital Media Services
Governor,"Polis, Jared",Democratic,5221.12,4/12/22 0:00,United Healthcare,Salt Lake City,UT,84130,Employee Services,Health Insurance
Governor,"Polis, Jared",Democratic,5220.75,2/23/22 0:00,Alexis  Harrigan,Denver,CO,80222,Consultant & Professional Services,Political Consultant
Governor,"Ganahl, Heidi",Republican,5220,4/1/22 0:00,Axiom Strategies,Kansas City,MO,64112,Other,6211 ∑ Printing
Governor,"Ganahl, Heidi",Republican,5070.14,10/13/21 0:00,"Am Bank Building Venture 1, Llp",Denver,CO,80222,Other,7211 ∑ Office Rent
Secretary of State,"Anderson, Pam",Republican,5068.88,3/8/22 0:00,76 Group,Frisco,CO,80443,Consultant & Professional Services,
Governor,"Ganahl, Heidi",Republican,5031.31,10/7/21 0:00,Adp,Aurora,CO,80014,Other,7110 ∑ Salary Expense
Governor,"Polis, Jared",Democratic,5020,9/3/21 0:00,Ascend Digital Services,Boulder,CO,80303,Consultant & Professional Services,Digital Media Services
Governor,"Polis, Jared",Democratic,5020,2/23/22 0:00,Ascend Digital Services,Washington,DC,20001,Consultant & Professional Services,Digital Media Services
Governor,"Polis, Jared",Democratic,5020,10/25/21 0:00,Ascend Digital Services,Washington,DC,20001,Consultant & Professional Services,Digital Media Services
Governor,"Polis, Jared",Democratic,5020,11/11/21 0:00,Ascend Digital Services,Washington,DC,20001,Consultant & Professional Services,Digital Media Services
Governor,"Polis, Jared",Democratic,5020,11/15/21 0:00,Ascend Digital Services,Washington,DC,20001,Consultant & Professional Services,Digital Media Services
State Treasurer,"Sias, Lang",Republican,5000,1/6/22 0:00,76 Group,Frisco,CO,80443,Consultant & Professional Services,Consulting
State Treasurer,"Sias, Lang",Republican,5000,2/9/22 0:00,76 Group,Frisco,CO,80443,Consultant & Professional Services,Consulting
State Treasurer,"Sias, Lang",Republican,5000,4/25/22 0:00,76 Group,Frisco,CO,80443,Consultant & Professional Services,Consulting
State Treasurer,"Young, David",Democratic,5000,2/16/21 0:00,Colorado Democratic Party,Denver,CO,80203,Miscellaneous,Advertising
Secretary of State,"Anderson, Pam",Republican,5000,2/1/22 0:00,Blitz Canvassing,Denver,CO,80231,Consultant & Professional Services,Petition Circulation
Secretary of State,"Anderson, Pam",Republican,5000,2/23/22 0:00,76 Group,Frisco,CO,80443,Consultant & Professional Services,
Secretary of State,"Anderson, Pam",Republican,5000,3/31/22 0:00,76 Group,Frisco,CO,80443,Consultant & Professional Services,
Secretary of State,"Griswold, Jena",Democratic,5000,5/4/21 0:00,4 Degrees,Lakewood,CO,80226,Consultant & Professional Services,List Acquisition
Secretary of State,"Griswold, Jena",Democratic,5000,3/3/22 0:00,Colorado Democratic Party,Denver,CO,80203,Other,Voter File Access
Secretary of State,"Griswold, Jena",Democratic,5000,4/7/22 0:00,4 Degrees,Lakewood,CO,80226,Consultant & Professional Services,Digital Acquisition
Governor,"Ganahl, Heidi",Republican,5000,1/3/22 0:00,"Sentinel Strategic Advisors, Llc",Washington,DC,20002,Other,7440 ∑ Communications Consultants
Governor,"Ganahl, Heidi",Republican,5000,2/1/22 0:00,"Sentinel Strategic Advisors, Llc",Washington,DC,20002,Other,7440 ∑ Communications Consultants
Governor,"Ganahl, Heidi",Republican,5000,3/1/22 0:00,"Sentinel Strategic Advisors, Llc",Washington,DC,20002,Other,7440 ∑ Communications Consultants
Governor,"Ganahl, Heidi",Republican,5000,10/23/21 0:00,Lexi  Swearingen,Pueblo,CO,81004,Other,7420 ∑ Media Consultants
Governor,"Ganahl, Heidi",Republican,5000,11/23/21 0:00,"Cssg ,Llc",New York,NY,10024,Other,7410 ∑ General Consultants
Governor,"Ganahl, Heidi",Republican,5000,11/29/21 0:00,Lexi  Swearingen,Pueblo,CO,81004,Other,7420 ∑ Media Consultants
Governor,"Ganahl, Heidi",Republican,5000,12/10/21 0:00,"Cssg ,Llc",New York,NY,10024,Other,7410 ∑ General Consultants
Governor,"Polis, Jared",Democratic,5000,9/13/21 0:00,Givewise,Denver,CO,80211,Fundraising Expenses,Fundraising
Governor,"Polis, Jared",Democratic,5000,3/29/22 0:00,Alexis  Harrigan,Denver,CO,80222,Consultant & Professional Services,Political Consultant
Governor,"Polis, Jared",Democratic,5000,4/13/22 0:00,Colorado Democratic Party,Denver,CO,80203,Other,Event Tickets
Governor,"Polis, Jared",Democratic,5000,10/21/21 0:00,Colorado Democratic Party,Denver,CO,80203,Consultant & Professional Services,Voter File Access
Governor,"Polis, Jared",Democratic,5000,2/21/19 0:00,Counting & Compliance Llc,Centennial,CO,80122,Consultant & Professional Services,Compliance Consulting
Governor,"Polis, Jared",Democratic,5000,3/1/19 0:00,Counting & Compliance Llc,Centennial,CO,80122,Consultant & Professional Services,Compliance Consulting
Governor,"Polis, Jared",Democratic,5000,5/23/19 0:00,Precision Strategies Llc,Washington,DC,20001,Advertising,
Governor,"Polis, Jared",Democratic,5000,8/7/19 0:00,Precision Strategies Llc,Washington,DC,20001,Consultant & Professional Services,Digital Media Services
Governor,"Polis, Jared",Democratic,5000,9/15/19 0:00,Precision Strategies Llc,Washington,DC,20001,Consultant & Professional Services,Digital Media Services
Governor,"Polis, Jared",Democratic,5000,9/27/19 0:00,Precision Strategies Llc,Washington,DC,20001,Consultant & Professional Services,Digital Media Services
Governor,"Polis, Jared",Democratic,5000,1/21/20 0:00,Precision Strategies Llc,Washington,DC,20001,Consultant & Professional Services,Digital Media Services
Governor,"Polis, Jared",Democratic,5000,3/20/20 0:00,Precision Strategies Llc,Washington,DC,20001,Consultant & Professional Services,Digital Media Services
Attorney General,"Weiser, Philip",Democratic,5000,2/19/22 0:00,Colorado Democratic Party,Denver,CO,80203,Other,Van Access
Governor,"Polis, Jared",Democratic,4750,12/4/18 0:00,Evolving Communications,Breckenridge,CO,80424,Consultant & Professional Services,Communications Consulting
Governor,"Polis, Jared",Democratic,4748.36,12/11/18 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll Taxes
Governor,"Ganahl, Heidi",Republican,4500,9/29/21 0:00,Tiffany A Coolidge,Wheat Ridge,CO,80212,Other,7410 ∑ General Consultants
Governor,"Lopez, Greg",Republican,4500,1/31/22 0:00,Brick & Matter,Highlands Ranch,CO,80126,Consultant & Professional Services,
Governor,"Polis, Jared",Democratic,4500,3/21/22 0:00,Blue Summit Solutions Llc,Denver,CO,80211,Consultant & Professional Services,Compliance Services
Governor,"Polis, Jared",Democratic,4500,4/18/22 0:00,Blue Summit Solutions Llc,Denver,CO,80211,Consultant & Professional Services,Compliance Services
Governor,"Polis, Jared",Democratic,4500,1/8/19 0:00,Evolving Communications,Breckenridge,CO,80424,Consultant & Professional Services,Communications Consulting
Governor,"Polis, Jared",Democratic,4500,1/16/19 0:00,Haley  Drapkin,Boulder,CO,80304,Consultant & Professional Services,Web Design Services
Governor,"Polis, Jared",Democratic,4500,12/4/18 0:00,Evolving Communications,Breckenridge,CO,80424,Consultant & Professional Services,Communications Consulting
Governor,"Polis, Jared",Democratic,4495.68,3/31/21 0:00,Blue Mountain Arts,Boulder,CO,80306,Miscellaneous,Printing/Production/Postage
Governor,"Polis, Jared",Democratic,4454.32,7/12/21 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
Governor,"Ganahl, Heidi",Republican,4400,1/18/22 0:00,Ring Digital,Dublin,OH,43017,Other,6590 ∑ Other Research Expense
Governor,"Polis, Jared",Democratic,4387.22,2/24/22 0:00,"Abbott Rapid Dx North America, Llc",Orlando,FL,32810,Other,Covid Testing Supplies
Governor,"Polis, Jared",Democratic,4379,10/28/20 0:00,Ascend Digital Services,Boulder,CO,80303,Consultant & Professional Services,Digital Media Services
Governor,"Polis, Jared",Democratic,4375,2/24/22 0:00,Jones Mandel,Seattle,WA,98107,Consultant & Professional Services,Research
Governor,"Ganahl, Heidi",Republican,4349.95,4/1/22 0:00,Robyn  Carnes,Centennial,CO,80122,Other,7430 ∑ Fundraising Consultants
Governor,"Polis, Jared",Democratic,4210.62,7/1/21 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
Governor,"Polis, Jared",Democratic,4210.62,7/27/21 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
Governor,"Polis, Jared",Democratic,4208.41,2/15/22 0:00,Sarah  Andrews,Denver,CO,80236,Employee Services,Payroll
Attorney General,"Weiser, Philip",Democratic,4170.22,3/22/21 0:00,Master Plan Productions,Los Angeles,CA,90039,Advertising,Campaign Video Production
Governor,"Polis, Jared",Democratic,4158,1/18/22 0:00,"The Chancery Sentinel, Llc",Kirkland,WA,98033,Rent & Utilities,Rent
Governor,"Polis, Jared",Democratic,4158,2/1/22 0:00,"The Chancery Sentinel, Llc",Kirkland,WA,98033,Rent & Utilities,Rent
