District,candidate,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
House District 01,"Mabrey, Javier",12.99,11/9/21 0:00,Canva,,CO,,Office Equipment & Supplies,
House District 01,"Mabrey, Javier",5.54,11/14/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",65,11/15/21 0:00,Emall Octopus,London,UK,EC2A 4NE,Advertising,
House District 01,"Mabrey, Javier",1.95,11/15/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",15.62,11/21/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",20.95,11/26/21 0:00,Godaddy .Com,Scottsdale,AZ,85260,Advertising,
House District 01,"Mabrey, Javier",15.23,11/28/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",5,12/1/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",63.28,12/5/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",12.99,12/9/21 0:00,Canva,,CO,,Office Equipment & Supplies,
House District 01,"Mabrey, Javier",94.54,12/12/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",65,12/13/21 0:00,Email Octopus,London,UK,EC2A 4NE,Advertising,
House District 01,"Mabrey, Javier",1.95,12/13/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",1250,12/13/21 0:00,Curt  Baker,Denver,CO,80206,Consultant & Professional Services,Campaign Consulting
House District 01,"Mabrey, Javier",32.98,12/16/21 0:00,Office Depot,,CO,,Office Equipment & Supplies,
House District 01,"Mabrey, Javier",6.47,12/17/21 0:00,Kaladi Brothers Coffee,Denver,CO,80210,"Food, Beverages and Meals",
House District 01,"Mabrey, Javier",13.65,12/19/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",39.74,12/20/21 0:00,Jaime'S Mexican Restaurant,Denver,CO,80227,"Food, Beverages and Meals",
House District 01,"Mabrey, Javier",9.7,12/20/21 0:00,Kaladi Brothers Coffee,Denver,CO,80210,"Food, Beverages and Meals",
House District 01,"Mabrey, Javier",1,12/23/21 0:00,Public-Works Parking Meter,Denver,CO,,Travel & Lodging,
House District 01,"Mabrey, Javier",10.88,12/26/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",20.95,12/27/21 0:00,Godaddy .Com,Scottsdale,AZ,85260,Advertising,
House District 01,"Mabrey, Javier",12.86,12/31/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 02,"Woodrow, Steven",31.6,1/2/22 0:00,Actblue,Somerville,MA,2144,Bank Fees,
House District 02,"Woodrow, Steven",19.99,1/13/22 0:00,Linkedphone Llc,New York,NY,10019,Telephone,
House District 02,"Woodrow, Steven",17.78,1/16/22 0:00,Actblue,Somerville,MA,2144,Bank Fees,
House District 02,"Woodrow, Steven",32.48,1/20/22 0:00,The Rocket Science Group Llc,Atlanta,GA,30308,Office Equipment & Supplies,Mailchimp
House District 02,"Woodrow, Steven",21.05,1/26/22 0:00,Amalgamated Bank,New York,NY,10011,Bank Fees,
House District 02,"Woodrow, Steven",16.3,1/28/22 0:00,"Zoom Video Communications, Inc.",San Jose,CA,95113,Office Equipment & Supplies,
House District 02,"Woodrow, Steven",2.18,1/30/22 0:00,Actblue,Somerville,MA,2144,Bank Fees,
House District 02,"Woodrow, Steven",19.99,2/13/22 0:00,Linkedphone Llc,New York,NY,10019,Telephone,
House District 02,"Woodrow, Steven",35.64,2/22/22 0:00,The Rocket Science Group Llc,Atlanta,GA,30308,Office Equipment & Supplies,Mailchimp
House District 02,"Woodrow, Steven",21.26,2/25/22 0:00,Amalgamated Bank,New York,NY,10011,Bank Fees,
House District 02,"Woodrow, Steven",2.18,2/27/22 0:00,Actblue,Somerville,MA,2144,Bank Fees,
House District 02,"Woodrow, Steven",16.3,2/28/22 0:00,"Zoom Video Communications, Inc.",San Jose,CA,95113,Office Equipment & Supplies,
House District 02,"Woodrow, Steven",15.8,3/6/22 0:00,Actblue,Somerville,MA,2144,Bank Fees,
House District 02,"Woodrow, Steven",7.9,3/13/22 0:00,Actblue,Somerville,MA,2144,Bank Fees,
House District 02,"Woodrow, Steven",19.99,3/13/22 0:00,Linkedphone Llc,New York,NY,10019,Telephone,
House District 02,"Woodrow, Steven",35.64,3/21/22 0:00,The Rocket Science Group Llc,Atlanta,GA,30308,Office Equipment & Supplies,Mailchimp
House District 02,"Woodrow, Steven",20.21,3/25/22 0:00,Amalgamated Bank,New York,NY,10011,Bank Fees,
House District 02,"Woodrow, Steven",0.2,3/27/22 0:00,Actblue,Somerville,MA,2144,Bank Fees,
House District 02,"Woodrow, Steven",16.3,3/28/22 0:00,"Zoom Video Communications, Inc.",San Jose,CA,95113,Office Equipment & Supplies,
House District 02,"Woodrow, Steven",0.8,4/10/22 0:00,Actblue,Somerville,MA,2144,Bank Fees,
House District 02,"Woodrow, Steven",19.99,4/13/22 0:00,Linkedphone Llc,New York,NY,10019,Telephone,
House District 02,"Woodrow, Steven",35.64,4/20/22 0:00,The Rocket Science Group Llc,Atlanta,GA,30308,Office Equipment & Supplies,Mailchimp
House District 02,"Woodrow, Steven",7.9,4/24/22 0:00,Actblue,Somerville,MA,2144,Bank Fees,
House District 02,"Woodrow, Steven",20,4/26/22 0:00,Amalgamated Bank,New York,NY,10011,Bank Fees,
House District 02,"Woodrow, Steven",16.3,4/26/22 0:00,"Zoom Video Communications, Inc.",San Jose,CA,95113,Office Equipment & Supplies,
House District 02,"Woodrow, Steven",0.2,5/1/22 0:00,Actblue,Somerville,MA,2144,Bank Fees,
House District 02,"Woodrow, Steven",30.65,5/4/22 0:00,Harland Clarke Corp.,San Antonio,TX,78256,Miscellaneous,
House District 02,"Woodrow, Steven",2500,5/11/22 0:00,Gisselle L Hernandez,Greeley,CO,80634,Employee Services,Cllaro Capitol Fellowship Program
House District 02,"Woodrow, Steven",16.3,10/26/21 0:00,"Zoom Video Communications, Inc.",San Jose,CA,95113,Office Equipment & Supplies,
House District 02,"Woodrow, Steven",11.07,10/31/21 0:00,Actblue,Somerville,MA,2144,Bank Fees,
House District 02,"Woodrow, Steven",1.98,11/7/21 0:00,Actblue,Somerville,MA,2144,Bank Fees,
House District 02,"Woodrow, Steven",19.99,11/13/21 0:00,Linkedphone Llc,New York,NY,10019,Telephone,
House District 02,"Woodrow, Steven",150,11/14/21 0:00,Colorado Democratic Party,Denver,CO,80203,Travel & Lodging,
House District 02,"Woodrow, Steven",32.48,11/22/21 0:00,The Rocket Science Group Llc,Atlanta,GA,30308,Office Equipment & Supplies,Mailchimp
House District 02,"Woodrow, Steven",20.42,11/26/21 0:00,Amalgamated Bank,New York,NY,10011,Bank Fees,
House District 02,"Woodrow, Steven",16.3,11/26/21 0:00,"Zoom Video Communications, Inc.",San Jose,CA,95113,Office Equipment & Supplies,
House District 02,"Woodrow, Steven",0.2,11/28/21 0:00,Actblue,Somerville,MA,2144,Bank Fees,
